iter	RMSE
0	0.4773276125
1	0.4707290163
2	0.464410531
3	0.4584745731
4	0.4527566508
5	0.4474623561
6	0.4425335569
7	0.4380305571
8	0.4337320321
9	0.4296292872
10	0.4257429701
11	0.4224318518
12	0.4193415396
13	0.4160047936
14	0.4128824524
15	0.4104257231
16	0.4078728654
17	0.4053613168
18	0.4030018139
19	0.4013655499
20	0.3994113358
21	0.3975385648
22	0.3962285376
23	0.3945516623
24	0.3929461075
25	0.3915561789
26	0.390265585
27	0.3890675072
28	0.3876838879
29	0.3866482415
30	0.3854202083
31	0.3843737878
32	0.3837546437
33	0.3828034749
34	0.3820242558
35	0.3813327268
36	0.3803975791
37	0.3798375014
38	0.3791517843
39	0.3782999065
40	0.3774744889
41	0.3770002765
42	0.376724887
43	0.3761720718
44	0.3755878728
45	0.3751544346
46	0.3743927447
47	0.3741151871
48	0.373332843
49	0.3729481091
50	0.3727207842
51	0.3722667326
52	0.3717060192
53	0.3714743184
54	0.3711257156
55	0.3709327592
56	0.370837037
57	0.3705528451
58	0.3703917617
59	0.3698500296
60	0.3696673396
61	0.3695545403
62	0.3695069013
63	0.369132221
64	0.368969597
65	0.3687554489
66	0.3684261441
67	0.3680538963
68	0.3678566153
69	0.3677128095
70	0.3675028132
71	0.36742472
72	0.367303554
73	0.3670607826
74	0.3669575613
75	0.3668493534
76	0.3666987306
77	0.3665506781
78	0.3664858981
79	0.3664461781
80	0.3662669218
81	0.3659637833
82	0.365914747
83	0.3657957058
84	0.3657638546
85	0.3655441835
86	0.3653275998
87	0.3651061897
88	0.3650139207
89	0.3648955615
90	0.3647416461
91	0.3646863236
92	0.3646599872
93	0.3645270537
94	0.3645164343
95	0.3642105612
96	0.3640924607
97	0.3639876679
98	0.3639401353
99	0.3637295214
100	0.3636637415
101	0.3636513569
102	0.3636446879
103	0.363537273
104	0.3633954147
105	0.3633337713
106	0.3633056612
107	0.3632283043
108	0.3631978306
109	0.3629663032
110	0.3629083394
111	0.3627694735
112	0.3626446859
113	0.3626141837
114	0.3626113783
115	0.3625955871
116	0.3625095437
117	0.3625025599
118	0.3623831028
119	0.3623509312
120	0.3623087194
121	0.3622856258
122	0.3621889342
123	0.3621167965
124	0.3621152643
125	0.3620447957
126	0.3619372639
127	0.3619250841
128	0.3619041026
129	0.3619014066
130	0.3617495203
131	0.3616631343
